1,1,1532.13,444.34,28.51,79.19,1,1,1
1,2,1495.02,440.27,49.32,110.86,1,1,1
1,3,1431.46,474.16,102.81,191.01,1,1,1
1,6,966.53,461.02,44.49,127.12,1,1,1
1,7,980.51,460.59,34.75,106.36,1,1,1
1,8,931.11,458.67,21.78,54.67,1,1,1
1,9,946.88,451.73,14.55,55.20,1,1,1
1,10,1360.64,452.13,88.30,173.40,1,1,1
1,11,872.48,460.74,60.23,139.26,1,1,1
1,19,825.08,456.27,45.98,144.69,1,1,1
1,25,911.47,455.83,19.31,49.14,1,1,1
1,26,902.49,457.36,14.15,47.61,1,1,1
1,30,863.60,456.00,21.60,61.80,1,1,1
1,32,255.67,467.00,160.44,399.95,1,1,1
1,41,850.80,456.00,16.20,56.80,1,1,1
1,46,806.60,455.20,20.00,55.60,1,1,1
1,48,570.99,487.04,178.35,497.63,1,1,1
2,1,1540.98,444.39,26.34,81.46,1,1,1
2,2,1501.95,439.51,45.85,110.24,1,1,1
2,3,1431.71,473.17,113.17,188.78,1,1,1
2,6,971.35,459.46,47.03,128.65,1,1,1
2,7,984.86,460.00,35.68,102.16,1,1,1
2,8,936.90,458.29,22.46,54.01,1,1,1
2,9,950.70,451.25,14.21,55.43,1,1,1
2,10,1367.62,451.43,85.71,181.90,1,1,1
2,11,880.21,461.50,58.29,135.29,1,1,1
2,19,830.59,456.04,42.67,143.96,1,1,1
2,25,917.23,455.46,18.70,43.28,1,1,1
2,26,906.93,457.14,15.76,41.81,1,1,1
2,30,869.52,453.57,23.34,69.13,1,1,1
2,32,266.29,464.85,156.78,394.49,1,1,1
2,41,857.02,455.90,14.70,46.77,1,1,1
2,46,811.30,458.17,18.47,56.79,1,1,1
2,47,832.67,458.63,12.06,38.93,1,1,1
2,48,576.05,485.59,180.49,501.22,1,1,1
3,1,1549.33,443.96,24.50,78.19,1,1,1
3,2,1508.98,437.35,47.28,104.02,1,1,1
3,3,1439.91,470.40,110.76,190.13,1,1,1
3,6,977.56,458.27,45.28,129.53,1,1,1
3,7,993.31,459.45,32.66,112.79,1,1,1
3,8,940.64,458.29,25.67,53.48,1,1,1
3,9,953.36,451.68,15.77,54.70,1,1,1
3,10,1389.78,444.53,68.00,164.36,1,1,1
3,11,883.94,454.59,57.93,140.84,1,1,1
3,19,835.71,455.25,43.70,143.49,1,1,1
3,25,919.86,453.81,19.86,45.50,1,1,1
3,26,913.61,455.22,15.03,43.99,1,1,1
3,30,872.08,452.39,23.14,69.22,1,1,1
3,31,891.67,459.52,20.48,62.02,1,1,1
3,32,274.16,459.55,158.43,397.75,1,1,1
3,41,856.70,455.53,19.81,47.38,1,1,1
3,46,816.23,457.46,16.81,56.43,1,1,1
3,47,835.67,455.99,13.01,36.11,1,1,1
3,48,585.80,481.93,178.05,507.32,1,1,1
4,1,1555.70,442.95,25.84,84.23,1,1,1
4,2,1516.02,435.91,45.54,108.38,1,1,1
4,3,1448.57,469.52,110.48,189.52,1,1,1
4,6,981.82,457.39,44.89,130.68,1,1,1
4,7,998.93,457.65,31.29,98.65,1,1,1
4,8,946.34,457.56,23.90,53.66,1,1,1
4,9,960.04,450.10,13.77,54.49,1,1,1
4,10,1391.71,443.65,72.33,158.60,1,1,1
4,11,891.11,456.89,55.11,137.78,1,1,1
4,19,839.72,455.43,44.11,142.49,1,1,1
4,25,925.13,453.81,20.30,50.25,1,1,1
4,26,915.84,455.37,14.40,48.69,1,1,1
4,30,876.33,453.52,23.24,68.44,1,1,1
4,31,894.88,458.42,20.47,64.39,1,1,1
4,32,284.00,459.33,156.00,397.33,1,1,1
4,41,867.86,452.52,13.87,53.36,1,1,1
4,46,819.12,455.25,17.86,57.56,1,1,1
4,47,840.76,453.99,13.24,38.87,1,1,1
4,48,588.24,481.93,181.71,507.32,1,1,1
5,1,1560.86,441.28,27.22,83.49,1,1,1
5,2,1520.49,435.78,49.24,108.87,1,1,1
5,3,1458.82,468.63,107.19,190.85,1,1,1
5,6,985.50,456.11,47.33,131.68,1,1,1
5,7,1003.82,457.63,31.30,101.91,1,1,1
5,8,949.61,456.49,25.20,55.52,1,1,1
5,9,961.78,450.67,16.89,55.11,1,1,1
5,10,1393.22,435.59,75.47,163.40,1,1,1
5,11,894.33,455.47,56.28,138.87,1,1,1
5,19,845.68,455.43,43.73,143.18,1,1,1
5,25,929.22,453.39,19.83,49.39,1,1,1
5,26,920.03,455.10,15.84,47.91,1,1,1
5,30,879.81,453.37,22.12,70.19,1,1,1
5,31,899.04,460.82,16.59,62.74,1,1,1
5,32,294.56,455.89,154.93,395.66,1,1,1
5,41,870.74,456.36,14.38,46.12,1,1,1
5,46,822.67,457.22,19.07,55.22,1,1,1
5,47,841.50,453.75,17.00,48.08,1,1,1
5,48,594.34,477.05,184.15,514.63,1,1,1
6,1,1566.36,441.59,29.66,86.85,1,1,1
6,2,1526.61,435.47,49.54,112.23,1,1,1
6,3,1468.59,465.97,101.05,190.58,1,1,1
6,6,991.84,454.76,45.58,133.33,1,1,1
6,7,1004.42,455.78,34.67,107.39,1,1,1
6,8,955.08,454.01,22.46,57.75,1,1,1
6,9,963.42,450.34,17.79,55.70,1,1,1
6,11,897.06,452.35,56.47,142.35,1,1,1
6,19,849.61,454.81,45.45,141.82,1,1,1
6,25,931.17,452.60,21.43,49.13,1,1,1
6,26,920.73,454.27,15.66,48.58,1,1,1
6,30,884.00,451.65,20.35,69.39,1,1,1
6,31,903.32,459.04,18.82,61.25,1,1,1
6,32,303.19,453.19,153.19,389.36,1,1,1
6,41,872.91,456.36,16.42,52.67,1,1,1
6,46,826.10,455.89,18.50,55.74,1,1,1
6,47,847.34,455.20,13.94,41.66,1,1,1
6,48,600.44,478.27,182.93,518.29,1,1,1
7,1,1572.15,440.94,31.54,94.63,1,1,1
7,2,1531.88,434.90,48.66,114.43,1,1,1
7,3,1473.57,465.00,102.86,192.86,1,1,1
7,6,994.35,455.37,45.20,128.25,1,1,1
7,7,1007.25,456.04,35.75,102.90,1,1,1
7,8,958.06,454.19,22.58,56.77,1,1,1
7,9,968.81,449.24,16.21,53.82,1,1,1
7,11,901.29,451.61,58.71,143.87,1,1,1
7,19,853.14,454.61,53.87,140.96,1,1,1
7,25,931.59,453.16,26.36,50.11,1,1,1
7,30,887.10,452.18,22.62,69.44,1,1,1
7,31,906.94,459.13,20.83,62.70,1,1,1
7,32,305.67,448.94,156.20,395.12,1,1,1
7,41,878.24,455.38,18.02,55.82,1,1,1
7,46,830.77,457.36,19.34,54.95,1,1,1
7,47,852.75,458.02,12.75,40.88,1,1,1
7,48,606.54,478.27,187.79,521.73,1,1,1
8,1,1577.37,441.28,30.28,88.07,1,1,1
8,2,1535.17,434.25,48.01,102.75,1,1,1
8,3,1481.69,464.32,100.00,192.02,1,1,1
8,6,996.72,454.92,47.13,132.79,1,1,1
8,7,1012.39,455.77,33.65,111.74,1,1,1
8,8,957.49,455.87,25.91,55.47,1,1,1
8,9,970.85,447.77,15.79,56.28,1,1,1
8,11,903.23,451.61,56.77,142.58,1,1,1
8,19,855.08,452.94,50.27,140.64,1,1,1
8,25,934.18,452.42,23.09,48.04,1,1,1
8,30,891.69,451.96,19.63,66.74,1,1,1
8,31,907.16,455.89,19.86,65.59,1,1,1
